이름,유형,리뷰 수,주소,영업 시간,포장 가능 여부,반려동물 동반 가능 여부,메뉴
노토,카페,"['방문자 리뷰 2', '블로그 리뷰 6']",서울 서초구 강남대로30길 38 102호,"[{'day': '화', 'hours': '10:00 - 16:00'}, {'day': '수', 'hours': '10:00 - 16:00'}, {'day': '목', 'hours': '10:00 - 16:00'}, {'day': '금', 'hours': '10:00 - 16:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '10:00 - 16:00'}]",False,True,"['핸드드립커피 (Iced)', '핸드드립커피 (Hot)', '카페오레 (Iced)', '카페오레 (Hot)']"
던킨 강남대로점,도넛,"['별점\n4.43', '방문자 리뷰 4,092', '블로그 리뷰 147']","서울 서초구 강남대로 455 (서초동, 강남태영데시앙루브) 1층","[{'day': '매일', 'hours': '07:00 - 23:00'}]",True,False,"['올스타 도넛세트', '버라이어티10EA', '해피 먼치킨컵 (10개)', '블루베리베이글']"
곤트란쉐리에 서초교대점,베이커리,"['방문자 리뷰 786', '블로그 리뷰 137']","서울 서초구 서초대로50길 35 1동 1층, 2층","[{'day': '화', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 20:00\n19:30 라스트오더'}, {'day': '월', 'hours': '08:00 - 22:00\n21:30 라스트오더'}]",True,False,"['소금버터빵', '크로와상 에멘탈 샌드위치', '샤케라또', '크림 피넛 버터']"
한정선 신세계백화점강남점,"카페,디저트","['방문자 리뷰 92', '블로그 리뷰 192']",서울 서초구 신반포로 176 센트럴시티,"[{'day': '화', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '수', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '토', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '일', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '월', 'hours': '10:30 - 20:00\n19:30 라스트오더'}]",True,False,"['[한정수량] 두바이st 찹쌀떡', '생딸기 찹쌀떡', '곶감 찹쌀떡', '[시즌한정] 무화과 찹쌀떡']"
아워헤르츠,"카페,디저트","['방문자 리뷰 274', '블로그 리뷰 165']",서울 서초구 서초대로58길 36 위드타운 1층,"[{'day': '매일', 'hours': '10:00 - 21:00\n20:30 라스트오더'}]",True,True,['메뉴 정보 없음']
책그리고,"카페,디저트","['별점\n4.35', '방문자 리뷰 154', '블로그 리뷰 106']",서울 서초구 방배천로 132 서림빌딩,"[{'day': '화', 'hours': '09:00 - 21:00'}, {'day': '수', 'hours': '09:00 - 21:00'}, {'day': '목', 'hours': '09:00 - 21:00'}, {'day': '금', 'hours': '09:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 19:00'}, {'day': '일', 'hours': '10:00 - 19:00'}, {'day': '월', 'hours': '09:00 - 21:00'}]",False,False,"['그릭요거트', '아메리카노', '아인슈페너', '피칸파이']"
콘띠오 ConTio,카페,"['별점\n4.66', '방문자 리뷰 450']",서울 서초구 언남길 35 1층 101호 카페 콘띠오 ConTio,"[{'day': '화', 'hours': '07:00 - 21:00'}, {'day': '수', 'hours': '07:00 - 21:00'}, {'day': '목', 'hours': '07:00 - 21:00'}, {'day': '금', 'hours': '07:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}, {'day': '월', 'hours': '07:00 - 21:00'}]",True,False,"['만차다', '콘레체', '아메리카노', '메이플라떼']"
악소,베이커리,"['방문자 리뷰 230', '블로그 리뷰 149']",서울 서초구 양재천로19길 14 1층,"[{'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '10:00 - 21:00'}]",True,True,"['[샌드위치]3. 햄치즈샌드위치', '[샌드위치] 1. 브룃혠과 햄', '[샌드위치]2. 브룃혠과 치즈', '[샌드위치]4. 브룃혠과 치즈•살라미']"
미뉴트 빠삐용 신세계백화점 강남점,베이커리,"['방문자 리뷰 164', '블로그 리뷰 266']",서울 서초구 신반포로 176 신세계 강남점 지하1층 스위트파크,"[{'day': '화', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '수', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '목', 'hours': '10:30 - 20:00\n19:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '토', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '일', 'hours': '10:30 - 20:30\n20:00 라스트오더'}, {'day': '월', 'hours': '10:30 - 20:00\n19:30 라스트오더'}]",True,False,"['[11월 한정] 피자 빠삐용', '딥초코 츄러스', '빠삐용 츄로넛', '크림밀크쉐이크']"
오페라빈 로스터스 본점,"카페,디저트","['방문자 리뷰 464', '블로그 리뷰 204']",서울 서초구 매헌로6길 55 오페라빈 본점,"[{'day': '화', 'hours': '08:00 - 20:00\n19:00 라스트오더'}, {'day': '수', 'hours': '08:00 - 20:00\n19:00 라스트오더'}, {'day': '목', 'hours': '08:00 - 20:00\n19:00 라스트오더'}, {'day': '금', 'hours': '08:00 - 20:00\n19:00 라스트오더'}, {'day': '토', 'hours': '10:00 - 15:00\n14:00 라스트오더'}, {'day': '일', 'hours': '10:00 - 15:00\n14:00 라스트오더'}, {'day': '월', 'hours': '08:00 - 20:00\n19:00 라스트오더'}]",True,False,['메뉴 정보 없음']
서래케이크,베이커리,"['방문자 리뷰 237', '블로그 리뷰 142']",서울 서초구 서래로7길 15,"[{'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:00 - 21:00'}, {'day': '금', 'hours': '11:00 - 21:00'}, {'day': '토', 'hours': '11:00 - 21:00'}, {'day': '일', 'hours': '11:00 - 21:00'}, {'day': '월', 'hours': '11:00 - 21:00'}]",True,True,"['애플망교쇼트케이크(홀케이크)', '애플망고 쇼트케이크(조각)', '무화과케이크(홀케이크)', '무화과쇼트케이크(조각)']"
슬라이폭스 신세계백화점 강남점,"카페,디저트","['방문자 리뷰 5', '블로그 리뷰 36']",서울 서초구 신반포로 176 . 신세계백화점 강남점 지하1층 스위트 파크,"[{'day': '화', 'hours': '10:30 - 20:00'}, {'day': '수', 'hours': '10:30 - 20:00'}, {'day': '목', 'hours': '10:30 - 20:00'}, {'day': '금', 'hours': '10:30 - 20:30'}, {'day': '토', 'hours': '10:30 - 20:30'}, {'day': '일', 'hours': '10:30 - 20:30'}, {'day': '월', 'hours': '10:30 - 20:00'}]",True,False,['Premium Cookie Choux']
파리크라상 서초래미안점,베이커리,"['별점\n4.37', '방문자 리뷰 2,417', '블로그 리뷰 120']",서울 서초구 사임당로 157 릿타워 1층 파리크라상,"[{'day': '매일', 'hours': '07:00 - 23:00'}]",True,False,['메뉴 정보 없음']
아이스크림 소사이어티 신세계백화점 강남점,아이스크림,"['방문자 리뷰 459', '블로그 리뷰 201']",서울 서초구 신반포로 176 하우스 오브 신세계 1층,"[{'day': '화', 'hours': '10:30 - 22:00'}, {'day': '수', 'hours': '10:30 - 22:00'}, {'day': '목', 'hours': '10:30 - 22:00'}, {'day': '금', 'hours': '10:30 - 22:00'}, {'day': '토', 'hours': '10:30 - 22:00'}, {'day': '일', 'hours': '10:30 - 22:00'}, {'day': '월', 'hours': '10:30 - 22:00'}]",True,True,"['아이스크림 싱글컵', 'Take-out 포장 (Small)', 'Take-out 포장 (Medium)', 'Take-out 포장 (Large)']"
베이크드뮬란,베이커리,"['별점\n4.21', '방문자 리뷰 806', '블로그 리뷰 176']",서울 서초구 효령로 131 청권빌딩,"[{'day': '매일', 'hours': '09:00 - 22:00'}]",True,False,"['이탈리안 깜빠뉴', '먹물 치아바타', '바질 까망베르 깜빠뉴', '뺑오 치즈']"
오크라,브런치카페,"['방문자 리뷰 133', '블로그 리뷰 382']",서울 서초구 양재천로 97 2층,"[{'day': '매일', 'hours': '09:00 - 21:00\n20:00 라스트오더'}]",False,False,"['가든 오픈샌드위치', '연어 그라브락스 오픈샌드위치', '불고기 스테이크 오픈샌드위치', '트러플 머쉬룸 오픈샌드위치']"
세시셀라팩토리,베이커리,"['별점\n4.5', '방문자 리뷰 115', '블로그 리뷰 130']",서울 서초구 방배로42길 46 (방배동) 2층,"[{'day': '화', 'hours': '10:00 - 18:00'}, {'day': '수', 'hours': '10:00 - 18:00'}, {'day': '목', 'hours': '10:00 - 18:00'}, {'day': '금', 'hours': '10:00 - 18:00'}, {'day': '토', 'hours': '10:00 - 18:00'}, {'day': '일', 'hours': '10:00 - 18:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",False,False,"['season cake 황치즈케잌', '아메리카노', '아이스 아메리카노', '아이스 카페라떼']"
더 리버사이드 호텔 더 라운지,베이커리,"['별점\n4.58', '방문자 리뷰 303', '블로그 리뷰 51']",서울 서초구 강남대로107길 6 로비층,"[{'day': '매일', 'hours': '08:00 - 20:00'}]",True,False,"['망고 케이크', '청사과 케이크', '딸기 수플레 케이크', '믹스베리 케이크']"
커피스니퍼 신세계백화점 강남점,카페,"['방문자 리뷰 293', '블로그 리뷰 184']",서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,"[{'day': '화', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 21:30\n21:00 라스트오더'}, {'day': '토', 'hours': '10:30 - 21:30\n21:00 라스트오더'}, {'day': '일', 'hours': '10:30 - 21:30\n21:00 라스트오더'}, {'day': '월', 'hours': '10:30 - 21:00\n20:30 라스트오더'}]",True,False,"['스니퍼 라떼', '커스터드 라떼', '시나 페어 (시즌 메뉴)', '애플 카모 브리즈 (시즌 메뉴)']"
매더커피갤러리,카페,"['별점\n4.66', '방문자 리뷰 484', '블로그 리뷰 138']",서울 서초구 효령로47길 15 1층 매더커피갤러리,"[{'day': '화', 'hours': '10:00 - 20:00'}, {'day': '수', 'hours': '10:00 - 20:00'}, {'day': '목', 'hours': '10:00 - 20:00'}, {'day': '금', 'hours': '10:00 - 20:00'}, {'day': '토', 'hours': '10:00 - 20:00'}, {'day': '일', 'hours': '10:00 - 19:00'}, {'day': '월', 'hours': '10:00 - 20:00'}]",True,True,['메뉴 정보 없음']
레발콩 사당이수 본점,"카페,디저트","['방문자 리뷰 454', '블로그 리뷰 101']",서울 서초구 방배천로 92 101동,"[{'day': '매일', 'hours': '10:00 - 22:00'}]",True,True,"['아메리카노', '라떼', '소금빵', '바닐라빈라떼']"
카페 아뜰리에,"카페,디저트","['별점\n4.53', '방문자 리뷰 250', '블로그 리뷰 197']",서울 서초구 방배천로4길 48 1층,"[{'day': '화', 'hours': '11:30 - 22:00'}, {'day': '수', 'hours': '11:30 - 22:00'}, {'day': '목', 'hours': '11:30 - 22:00'}, {'day': '금', 'hours': '11:30 - 23:00'}, {'day': '토', 'hours': '12:30 - 22:00'}, {'day': '일', 'hours': '13:00 - 22:00'}, {'day': '월', 'hours': '11:30 - 22:00'}]",True,True,"['시그니처라떼', '티라미스']"
이하나커피 교대점,카페,"['방문자 리뷰 582', '블로그 리뷰 328']",서울 서초구 서초중앙로 110 롯데캐슬메디치 1층,"[{'day': '화', 'hours': '08:30 - 22:00\n21:20 라스트오더'}, {'day': '수', 'hours': '08:30 - 22:00\n21:20 라스트오더'}, {'day': '목', 'hours': '08:30 - 22:00\n21:20 라스트오더'}, {'day': '금', 'hours': '08:30 - 22:00\n21:20 라스트오더'}, {'day': '토', 'hours': '10:00 - 22:00\n21:20 라스트오더'}, {'day': '일', 'hours': '10:00 - 22:00\n21:20 라스트오더'}, {'day': '월', 'hours': '08:30 - 22:00\n21:20 라스트오더'}]",True,True,['메뉴 정보 없음']
더블딥커피,"카페,디저트","['별점\n4.72', '방문자 리뷰 173', '블로그 리뷰 122']",서울 서초구 방배로11길 21 상가 2호,"[{'day': '화', 'hours': '11:30 - 20:00'}, {'day': '수', 'hours': '11:30 - 20:00'}, {'day': '목', 'hours': '11:30 - 20:00'}, {'day': '금', 'hours': '11:30 - 20:00'}, {'day': '토', 'hours': '11:30 - 20:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:30 - 20:00'}]",True,False,"['크림라떼', '에그스콘', '클래식스콘', '휘낭시에']"
투썸플레이스 양재매헌역점,카페,"['별점\n4.39', '방문자 리뷰 3,190', '블로그 리뷰 71']",서울 서초구 강남대로16길 3 1층,"[{'day': '화', 'hours': '07:00 - 23:00'}, {'day': '수', 'hours': '07:00 - 23:00'}, {'day': '목', 'hours': '07:00 - 23:00'}, {'day': '금', 'hours': '07:00 - 23:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}, {'day': '월', 'hours': '07:00 - 23:00'}]",True,False,"['투썸 오벌 티라미수', '우리 쌀 식혜', '스초생®', '카페 아메리카노']"
가배도 강남점,카페,"['별점\n4.49', '방문자 리뷰 806', '블로그 리뷰 316']",서울 서초구 강남대로 405 1층,"[{'day': '화', 'hours': '09:30 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '09:30 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '09:30 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '09:30 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 21:00\n20:30 라스트오더'}, {'day': '월', 'hours': '09:30 - 21:00\n20:30 라스트오더'}]",True,True,"['말차 라떼', '티라미수', '가배', '라떼']"
루베르로스터리,카페,"['방문자 리뷰 47', '블로그 리뷰 54']",서울 서초구 방배중앙로 168 1층,"[{'day': '화', 'hours': '09:00 - 21:00\n20:00 라스트오더'}, {'day': '수', 'hours': '09:00 - 21:00\n20:00 라스트오더'}, {'day': '목', 'hours': '09:00 - 21:00\n20:00 라스트오더'}, {'day': '금', 'hours': '09:00 - 21:00\n20:00 라스트오더'}, {'day': '토', 'hours': '11:00 - 21:00\n20:00 라스트오더'}, {'day': '일', 'hours': '11:00 - 21:00\n20:00 라스트오더'}, {'day': '월', 'hours': '09:00 - 21:00\n20:00 라스트오더'}]",True,False,['이미지 참조']
카페돌체 세빛섬점,"카페,디저트","['별점\n4.21', '방문자 리뷰 1,989', '블로그 리뷰 186']",서울 서초구 올림픽대로 2085-14 세빛섬,"[{'day': '화', 'hours': '정보 없음'}, {'day': '수', 'hours': '정보 없음'}, {'day': '목', 'hours': '정보 없음'}, {'day': '금', 'hours': '정보 없음'}, {'day': '토', 'hours': '정보 없음'}, {'day': '일', 'hours': '정보 없음'}, {'day': '월', 'hours': '정보 없음'}]",True,False,"['세빛 한강 커피', '돌체 버라이어티팩', '리얼 딸기 스무디', '블루 와인 에이드']"
아티제 서초역점,카페,"['별점\n4.31', '방문자 리뷰 3,827', '블로그 리뷰 170']",서울 서초구 반포대로27길 16,"[{'day': '화', 'hours': '07:00 - 21:00'}, {'day': '수', 'hours': '07:00 - 21:00'}, {'day': '목', 'hours': '07:00 - 21:00'}, {'day': '금', 'hours': '07:00 - 21:00'}, {'day': '토', 'hours': '07:00 - 20:00'}, {'day': '일', 'hours': '07:00 - 20:00'}, {'day': '월', 'hours': '07:00 - 21:00'}]",False,False,"['카페 아메리카노', '카페라떼', '스패니쉬라떼', '플랫화이트']"
올드페리도넛 사당점,도넛,"['방문자 리뷰 502', '블로그 리뷰 285']",서울 서초구 동작대로 36 1층 101호,"[{'day': '화', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '10:30 - 21:00\n20:30 라스트오더'}, {'day': '월', 'hours': '10:30 - 21:00\n20:30 라스트오더'}]",True,False,"['PB&J (피넛잼+라즈베리잼의 조합)', '쿠키앤크림 도넛', '크림브륄레', '피넛버터']"
케익공방,케이크전문,"['별점\n4.34', '방문자 리뷰 38', '블로그 리뷰 92']",서울 서초구 서초대로73길 42 리가스퀘어 1411호,"[{'day': '매일', 'hours': '11:00 - 20:00'}]",True,False,['메뉴 정보 없음']
아티제 강남점,카페,"['별점\n4.41', '방문자 리뷰 1,198', '블로그 리뷰 201']",서울 서초구 서초대로77길 62 강남역 IPARK,"[{'day': '화', 'hours': '08:00 - 20:00'}, {'day': '수', 'hours': '08:00 - 20:00'}, {'day': '목', 'hours': '08:00 - 20:00'}, {'day': '금', 'hours': '08:00 - 20:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}, {'day': '월', 'hours': '08:00 - 20:00'}]",False,False,"['카페 아메리카노', '카페라떼', '스패니쉬라떼', '플랫화이트']"
젤라띠젤라띠 파미에스테이션점,아이스크림,"['별점\n4.49', '방문자 리뷰 1,523', '블로그 리뷰 602']",서울 서초구 신반포로 176 센트럴시티 파미에 스테이션 1층,"[{'day': '매일', 'hours': '11:00 - 22:00'}]",False,False,"['젤라또 2가지맛 컵/콘', '젤라또 3가지맛 컵', 'To-Go Box 3가지맛 450g', 'To-Go Box 4가지맛 650g']"
줄리에뜨,"카페,디저트","['별점\n4.63', '방문자 리뷰 152', '블로그 리뷰 176']",서울 서초구 동광로 178,"[{'day': '화', 'hours': '10:30 - 19:30'}, {'day': '수', 'hours': '10:30 - 19:30'}, {'day': '목', 'hours': '10:30 - 19:30'}, {'day': '금', 'hours': '10:30 - 19:30'}, {'day': '토', 'hours': '10:30 - 19:30'}, {'day': '일', 'hours': '13:00 - 19:30'}, {'day': '월', 'hours': '10:30 - 19:30'}]",True,False,"['타르트', '미니타르트세트']"
카페 타셴,"카페,디저트","['방문자 리뷰 38', '블로그 리뷰 37']",서울 서초구 효령로 317 건축사협회 1층 카페 타셴,"[{'day': '화', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '10:00 - 22:00\n21:30 라스트오더'}, {'day': '월', 'hours': '10:00 - 22:00\n21:30 라스트오더'}]",True,False,"['소금빵', '월넛초코르뱅쿠키']"
브라하,"카페,디저트","['방문자 리뷰 406', '블로그 리뷰 164']",서울 서초구 방배로6길 15 Buraha,"[{'day': '화', 'hours': '09:00 - 22:00'}, {'day': '수', 'hours': '09:00 - 22:00'}, {'day': '목', 'hours': '09:00 - 22:00'}, {'day': '금', 'hours': '09:00 - 22:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 21:00'}, {'day': '월', 'hours': '09:00 - 22:00'}]",True,False,"['수제마들렌세트', '얼그레이오렌지', '수제팥우유', '디카페인아메리카노']"
라떼또뜨,베이커리,"['방문자 리뷰 479', '블로그 리뷰 78']",서울 서초구 방배로 170 가야빌딩 104호 라떼또뜨,"[{'day': '화', 'hours': '08:00 - 24:00'}, {'day': '수', 'hours': '08:00 - 24:00'}, {'day': '목', 'hours': '08:00 - 24:00'}, {'day': '금', 'hours': '08:00 - 24:00'}, {'day': '토', 'hours': '08:00 - 24:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['트라디시옹 바게뜨', '크루아상', '치아바타']"
멜로드 도산 신사 아뜰리에,케이크전문,"['방문자 리뷰 316', '블로그 리뷰 122']",서울 서초구 나루터로 60 정원빌딩 2층 멜로드 도산 신사 아뜰리에,"[{'day': '화', 'hours': '11:30 - 20:00'}, {'day': '수', 'hours': '11:30 - 20:00'}, {'day': '목', 'hours': '11:30 - 20:00'}, {'day': '금', 'hours': '11:30 - 20:00'}, {'day': '토', 'hours': '11:00 - 20:00'}, {'day': '일', 'hours': '11:00 - 20:00'}, {'day': '월', 'hours': '11:30 - 20:00'}]",False,False,['메뉴 정보 없음']
비건카페 유로카,"카페,디저트","['방문자 리뷰 504', '블로그 리뷰 109']",서울 서초구 서초대로50길 8 관정빌딩 1층 카페 유로카,"[{'day': '화', 'hours': '08:30 - 22:30\n22:00 라스트오더'}, {'day': '수', 'hours': '08:30 - 22:30\n22:00 라스트오더'}, {'day': '목', 'hours': '08:30 - 22:30\n22:00 라스트오더'}, {'day': '금', 'hours': '08:30 - 22:30\n22:00 라스트오더'}, {'day': '토', 'hours': '08:30 - 22:30\n22:00 라스트오더'}, {'day': '일', 'hours': '11:30 - 22:30\n22:00 라스트오더'}, {'day': '월', 'hours': '08:30 - 22:30\n22:00 라스트오더'}]",True,True,['메뉴 정보 없음']
보나블랑제리,베이커리,"['방문자 리뷰 87', '블로그 리뷰 68']",서울 서초구 방배로26길 32 1층,"[{'day': '화', 'hours': '08:00 - 18:30\n18:00 라스트오더'}, {'day': '수', 'hours': '08:00 - 18:30\n18:00 라스트오더'}, {'day': '목', 'hours': '08:00 - 18:30\n18:00 라스트오더'}, {'day': '금', 'hours': '08:00 - 18:30\n18:00 라스트오더'}, {'day': '토', 'hours': '08:00 - 18:30\n18:00 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,False,"['레몬마들렌', '르방바게트', '크로와상', '빵티그레']"
스타벅스 강남교보타워R점,카페,"['별점\n4.48', '방문자 리뷰 5,120', '블로그 리뷰 280']",서울 서초구 강남대로 465 (서초동),"[{'day': '화(11/12)', 'hours': '07:00 - 22:00'}, {'day': '수(11/13)', 'hours': '07:00 - 22:00'}, {'day': '목(11/14)', 'hours': '07:00 - 22:00'}, {'day': '금(11/15)', 'hours': '07:00 - 22:00'}, {'day': '토(11/16)', 'hours': '08:00 - 22:00'}, {'day': '일(11/17)', 'hours': '08:00 - 21:00'}, {'day': '월(11/18)', 'hours': '07:00 - 22:00'}]",False,False,['메뉴 정보 없음']
도피오 로스터리,카페,"['별점\n4.66', '방문자 리뷰 273', '블로그 리뷰 74']",서울 서초구 사평대로55길 29 1층,"[{'day': '화', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}, {'day': '월', 'hours': '11:00 - 22:00\n21:30 라스트오더'}]",False,False,"['핸드드립 커피', '카페라떼', '또봐(도피오바닐라라떼)', '에스프레소']"
투썸플레이스 사당역로데오점,카페,"['별점\n4.3', '방문자 리뷰 2,598', '블로그 리뷰 44']",서울 서초구 방배천로2길 5 1층 투썸플레이스,"[{'day': '정보 없음', 'hours': '정보 없음'}]",True,False,"['윈터뱅쇼(R)', 'TWG카모마일유자티(R)', '떠먹는 로투스 비스코프 아박', '바나나 샷 라떼(R)']"
무스티에,"카페,디저트","['방문자 리뷰 459', '블로그 리뷰 51']",서울 서초구 방배로20길 8-6 1층,"[{'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",False,False,"['마들렌 시트홍', '무화과 타르트(홀)', '무화과 타르트', '몽블랑']"
홍종흔베이커리 반포점,베이커리,"['별점\n4.25', '방문자 리뷰 1,396', '블로그 리뷰 36']",서울 서초구 신반포로 257 뉴타운빌딩,"[{'day': '화', 'hours': '07:00 - 22:00'}, {'day': '수', 'hours': '07:00 - 22:00'}, {'day': '목', 'hours': '07:00 - 22:00'}, {'day': '금', 'hours': '07:00 - 22:00'}, {'day': '토', 'hours': '07:00 - 22:00'}, {'day': '일', 'hours': '07:00 - 22:00'}, {'day': '월', 'hours': '07:00 - 22:00'}]",True,False,['어니언킹']
테라로사 양재역점,카페,"['방문자 리뷰 159', '블로그 리뷰 71']","서울 서초구 강남대로 206 엔스빌딩 1층, 테라로사 양재역점","[{'day': '화', 'hours': '07:30 - 22:00'}, {'day': '수', 'hours': '07:30 - 22:00'}, {'day': '목', 'hours': '07:30 - 22:00'}, {'day': '금', 'hours': '07:30 - 22:00'}, {'day': '토', 'hours': '08:30 - 22:00'}, {'day': '일', 'hours': '08:30 - 22:00'}, {'day': '월', 'hours': '07:30 - 22:00'}]",True,False,['메뉴 정보 없음']
심재 논현,"카페,디저트","['방문자 리뷰 92', '블로그 리뷰 70']",서울 서초구 강남대로 545-15 1층,"[{'day': '화', 'hours': '09:30 - 22:00'}, {'day': '수', 'hours': '09:30 - 22:00'}, {'day': '목', 'hours': '09:30 - 22:00'}, {'day': '금', 'hours': '09:30 - 22:00'}, {'day': '토', 'hours': '10:00 - 22:00'}, {'day': '일', 'hours': '10:00 - 20:00'}, {'day': '월', 'hours': '09:30 - 22:00'}]",True,False,"['아몬드 크림 라떼', 'New 흑임자 라떼', '호지차 라떼', '오트 크림 라떼(Zero Sugar)']"
인더야드,"카페,디저트","['방문자 리뷰 119', '블로그 리뷰 90']",서울 서초구 방배천로2안길 50 1층 102호,"[{'day': '화', 'hours': '12:00 - 22:00\n21:00 라스트오더'}, {'day': '수', 'hours': '12:00 - 22:00\n21:00 라스트오더'}, {'day': '목', 'hours': '12:00 - 22:00\n21:00 라스트오더'}, {'day': '금', 'hours': '12:00 - 22:00\n21:00 라스트오더'}, {'day': '토', 'hours': '12:30 - 22:00\n21:00 라스트오더'}, {'day': '일', 'hours': '13:00 - 19:00\n18:00 라스트오더'}, {'day': '월', 'hours': '정기휴무 (매주 월요일)'}]",True,True,"['초콜렛 무스 케이크', '밤 티라미수(시즌메뉴, 포장x)', '피스타치오 티라미수', '야드슈페너']"
스타벅스 서울고속터미널점,카페,"['별점\n4.46', '방문자 리뷰 8,415', '블로그 리뷰 173']",서울 서초구 신반포로 194 (반포동),"[{'day': '화(11/12)', 'hours': '07:00 - 22:00'}, {'day': '수(11/13)', 'hours': '07:00 - 22:00'}, {'day': '목(11/14)', 'hours': '07:00 - 22:00'}, {'day': '금(11/15)', 'hours': '07:00 - 22:00'}, {'day': '토(11/16)', 'hours': '07:00 - 22:00'}, {'day': '일(11/17)', 'hours': '07:00 - 22:00'}, {'day': '월(11/18)', 'hours': '07:00 - 22:00'}]",False,False,['메뉴 정보 없음']
